Church Name,City,State,Size,Denomination
Redeemer Presbyterian Church,New York City,NY,5200,Presbyterian Church of America
Redemption,Greenville,SC,10550,"Independent, Nondenominational"
Redemption Church,Tempe,AZ,4500,"Independent, Nondenominational"
Reston Bible Church,Dulles,VA,1800,"Independent, Nondenominational"
Reston Bible Church,Reston,VA,1800,"Independent, Nondenominational"
Resurrection Fellowship,Loveland,CO,2500,"Independent, Nondenominational"
Resurrection Life Church,Grandville,MI,7000,"Independent, Nondenominational"
Revealing Truth Ministries,Tampa,FL,2500,"Independent, Nondenominational"
Revival Center Modesto,Modesto,CA,3000,"Independent, Nondenominational"
Revival Christian Fellowship,Menifee,CA,6000,"Independent, Nondenominational"
Reynoldsburg United Methodist Church,Reynoldsburg,OH,2200,United Methodist Church
Rhema Bible Church,Tulsa,OK,5500,Unknown (unspecified)
Rhema Christian Center Church,Washington,DC,2000,"Independent, Nondenominational"
Richmond Hill Chinese Community Church,Richmond Hill,ON,2800,Evangelical
Richmond Outreach Center,Richmond,VA,5500,"Independent, Nondenominational"
Ridgecrest Baptist Church,Springfield,MO,1900,Southern Baptist Convention
Ridgecrest Baptist Church,Dothan,AL,2500,Southern Baptist Convention
Ridgedale Baptist Church,Chattanooga,TN,2500,Baptist (unspecified)
River of Life Christian Church,Santa Clara,CA,2950,"Independent, Nondenominational"
River of Life Fellowship,Kent,WA,2000,"Independent, Nondenominational"
River Pointe Church,Richmond,TX,3500,Unknown (unspecified)
River Valley Church,Apple Valley,MN,5000,Assemblies of God
Riverbend Baptist Church,North Charleston,SC,3500,Southern Baptist Convention
Riverbend Church,Austin,TX,4000,"Independent, Nondenominational"
Riverlakes Community Church,Bakersfield,CA,2000,Unknown (unspecified)
RiverTree Christian Church,Massillon,OH,2600,CHRISTIAN
Riverview Church,Holt,MI,2400,Unknown (unspecified)
Rock Bridge Community Church,Dalton,GA,2900,Southern Baptist Convention
Rock Church,Rockford,IL,5000,Unknown (unspecified)
Rock City Church,Columbus,OH,2648,"Independent, Nondenominational"
Rock of Ages Baptist Church,Maywood,IL,3000,Baptist (unspecified)
Rock of Roseville,Roseville,CA,2000,Unknown (unspecified)
Rock Springs Baptist Church,Easley,SC,2500,Southern Baptist Convention
Rockford First,Rockford,IL,3184,Assemblies of God
RockHarbor Church,Costa Mesa,CA,5000,"Independent, Nondenominational"
Rocky Mountain Calvary Chapel,Colorado Springs,CO,3500,Calvary Churches
Rocky Mountain Christian Church,Niwot,CO,2202,CHRISTIAN
Rolling Hills Christian Church,El Dorado Hills,CA,2103,CHRISTIAN
Rolling Hills Community Church,Tualatin,OR,2900,"Independent, Nondenominational"
Rolling Hills Covenant Church,Rolling Hills Estates,CA,3000,Evangelical Covenant
Roswell Street Baptist Church,Marietta,GA,1850,Southern Baptist Convention
Roswell United Methodist Church,Roswell,GA,2100,United Methodist Church
Rutgers Community Christian Church,Somerset,NJ,2200,"Independent, Nondenominational"
Saddleback Church,Lake Forest,CA,28000,Southern Baptist Convention
Sagebrush Community Church,Albuquerque,NM,9000,"Independent, Nondenominational"
Sagemont Church,Houston,TX,3984,Southern Baptist Convention
Saint Andrew Lutheran Church,Eden Prairie,MN,2300,Lutheran (unspecified)
Saint Andrew’s Lutheran Church,Mahtomedi,MN,2100,Evangelical Lutheran Church in America
Saint Andrew’s Presbyterian Church,Newport Beach,CA,1833,"Presbyterian Church, U.S.A."
Saint Columba’s Episcopal Church,Washington,DC,1800,Episcopal
Saint John Baptist Church,Grand Prairie,TX,8800,"Independent, Nondenominational"
Saint John Baptist Church,Tacoma,WA,2000,Unknown (unspecified)
Saint John Lutheran Church,Ellisville,MO,2300,Lutheran (unspecified)
Saint John’s Downtown United Methodist Church,Houston,TX,2044,United Methodist Church
Saint John’s Lutheran Church,Orange,CA,2000,Lutheran (unspecified)
Saint Lorenz Lutheran Church,Frankenmuth,MI,1800,Lutheran (unspecified)
Saint Louis Family Church,Chesterfield,MO,6000,"Independent, Nondenominational"
Saint Luke’s United Methodist Church,Indianapolis,IN,3108,United Methodist Church
Saint Lukes United Methodist Church,Orlando,FL,1967,United Methodist Church
Saint Mark Baptist Church,Little Rock,AR,3000,Unknown (unspecified)
Saint Mark’s Church,Burlington,NC,2000,Unknown (unspecified)
Saint Marks Episcopal Church,Jacksonville,FL,2500,Episcopal
Saint Martin’s Episcopal Church,Houston,TX,4000,Episcopal
Saint Matthew’s Baptist Church,Williamstown,NJ,9000,Unknown (unspecified)
Saint Matthews Baptist Church,Louisville,KY,8300,Southern Baptist Convention
Saint Michael and All Angels Episcopal,Dallas,TX,5000,Episcopal
Saint Paul Baptist Church,Charlotte,NC,4500,National Baptist Convention
Saint Paul Baptist Church,Sacramento,CA,2000,Southern Baptist Convention
Saint Paul Christian Methodist Episcopal,Savannah,GA,2500,Christian Methodist Episcopal
Saint Paul Community Baptist,Brooklyn,NY,2000,"Independent, Nondenominational"
Saint Paul’s Baptist Church,Richmond,VA,6257,Southern Baptist Convention
Saint Philip AME Church,Atlanta,GA,6000,African Methodist Episcopal
Saint Philip the Deacon Lutheran Church,Plymouth,MN,2000,Evangelical Lutheran Church in America
Saint Stephen Church,Louisville,KY,4000,"Independent, Nondenominational"
Saint Timothy Northshore United Methodist,Mandeville,LA,1973,United Methodist Church
Saintsville Sanctuary Church of God In Christ,Dallas,TX,2000,Church of God in Christ
Salem Alliance Church,Salem,OR,2600,Christian & Missionary Alliance
Salem Baptist Church,Chicago,IL,9000,Baptist (unspecified)
Salem Bible Church,Atlanta,GA,2000,Unknown (unspecified)
Salem First Church of the Nazarene,Salem,OR,2000,Church of the Nazarene
Salem Missionary Baptist Church,Lilburn,GA,1800,Baptist (unspecified)
Sandals Church,Riverside,CA,3000,"Independent, Nondenominational"
Santa Cruz Bible Church,Santa Cruz,CA,2000,"Independent, Nondenominational"
Sarang Community Church,Anaheim,CA,8000,Presbyterian Church of America
Saturn Road Church of Christ,Garland,TX,1800,Church of Christ
Savannah Christian Church,Savannah,GA,7331,CHRISTIAN
Scottsdale Bible Church,Scottsdale,AZ,6234,"Independent, Nondenominational"
Seacoast Church,Charleston,SC,10000,"Independent, Nondenominational"
Seacoast Grace Church,Cypress,CA,3290,"Independent, Nondenominational"
Second Baptist Church,Springfield,MO,2543,Southern Baptist Convention
Second Baptist Church,Houston,TX,20656,Southern Baptist Convention
Second Ebenezer Church,Detroit,MI,2000,Unknown (unspecified)
Second Presbyterian Church,Memphis,TN,3600,Presbyterian Church of America
Seven Hills Church,Florence,KY,3000,Unknown (unspecified)
Sevier Heights Baptist Church,Knoxville,TN,3000,Southern Baptist Convention
Shades Mountain Baptist Church,Birmingham,AL,2756,Southern Baptist Convention
Shadow Hills Church,Las Vegas,NV,2547,Southern Baptist Convention
Shadow Mountain Community Church,El Cajon,CA,7513,Southern Baptist Convention
Shandon Baptist Church,Columbia,SC,2500,Southern Baptist Convention
Sharon Baptist Church,Philadelphia,PA,5000,Southern Baptist Convention
Sheffield Family Life Center,Kansas City,MO,5135,Assemblies of God
Shepherd of the Hills Church,Porter Ranch,CA,8675,CHRISTIAN
Shepherd of the Lake Lutheran Church,Prior Lake,MN,2000,Evangelical Lutheran Church in America
Shepherd of the Valley Lutheran Church,Apple Valley,MN,2200,Lutheran (unspecified)
Sherwood Oaks Christian Church,Bloomington,IN,2588,CHRISTIAN
Sherwood Park Alliance Church,Sherwood Park,AB,2000,Christian & Missionary Alliance
Shiloh Baptist Church,Washington,DC,2000,Baptist (unspecified)
Shiloh Baptist Church,Dayton,OH,2500,Baptist (unspecified)
Shiloh Metropolitan Baptist Church,Jacksonville,FL,6000,Baptist (unspecified)
Shoreline Christian Center,Austin,TX,5000,"Independent, Nondenominational"
Shoreline Community Church,Monterey,CA,3500,"Independent, Nondenominational"
Silverdale Baptist Church,Chattanooga,TN,3800,Southern Baptist Convention
Silverlake Church,Pearland,TX,2675,Southern Baptist Convention
Sixth Avenue Baptist Church,Birmingham,AL,2000,Baptist (unspecified)
Skyline Wesleyan Church,La Mesa,CA,2500,Wesleyan
Sligo Seventh Day Adventist,Tacoma Park,MD,2000,Seventh-day Adventist
Smithtown Gospel Tabernacle,Smithtown,NY,2700,"Independent, Nondenominational"
Snyder Memorial Baptist Church,Fayetteville,NC,2000,Southern Baptist Convention
Sojourn Community Church,Louisville,KY,3476,Unknown (unspecified)
Solid Rock Church,Portland,OR,6000,"Independent, Nondenominational"
Solid Rock Church,Monroe,OH,4000,"Independent, Nondenominational"
Sonrise Community Baptist Church,Santee,CA,2800,Baptist (unspecified)
Soul Factory,Forestville,MD,5000,"Independent, Nondenominational"
South Biscayne Baptist Church,North Port,FL,2000,Southern Baptist Convention
South Florida Church of Christ,Davie,FL,2000,Church of Christ
South Hills Church,Corona,CA,2500,"Independent, Nondenominational"
South Mountain Community Church,Draper,UT,1800,"Independent, Nondenominational"
SouthBrook Christian Church,Miamisburg,OH,3100,CHRISTIAN
Southbrook Church,Weddington,NC,2000,"Independent, Nondenominational"
Southeast Christian Church,Parker,CO,3554,CHRISTIAN
Southeast Christian Church,Louisville,KY,25917,CHRISTIAN
Southern Baptist Church,Baltimore,MD,2500,Southern Baptist Convention
Southlake Foursquare Church,West Linn,OR,2500,Four Square
Southland Christian Church,Nicholasville,KY,12524,CHRISTIAN
Southside Baptist Church,Warner Robins,GA,2100,Southern Baptist Convention
Southside Fellowship,Greenville,SC,2000,"Independent, Nondenominational"
Southwest Baptist Church,Oklahoma City,OK,2500,Baptist (unspecified)
Southwest Community Church,Houston,TX,3400,Southern Baptist Convention
Southwest Community Church,Indian Wells,CA,4500,Evangelical Free
Spanish River Church,Boca Raton,FL,2000,"Independent, Nondenominational"
Spirit of Faith Christian Center,Temple Hills,MD,5000,Unknown (unspecified)
Spotswood Baptist Church,Fredericksburg,VA,2000,Southern Baptist Convention
Spring of Life Christian Church,Mesa,AZ,2100,Unknown (unspecified)
Springfield Baptist Church,Conyers,GA,2000,Baptist (unspecified)
Springs Church,Winnipeg,MB,7500,Unknown (unspecified)
St Lukes United Methodist Church,Houston,TX,1931,United Methodist Church
St. Peter’s Church and World Outreach Center,Winston-Salem,NC,4000,"Independent, Nondenominational"
St. Stephen Baptist Church,Memphis,TN,2000,Baptist (unspecified)
Steele Creek Community Church,Charlotte,NC,2500,"Independent, Nondenominational"
Stonebriar Community Church,Frisco,TX,4500,"Independent, Nondenominational"
Stonegate Fellowship,Midland,TX,4000,Unknown (unspecified)
Straight Gate International Church,Detroit,MI,2000,"Independent, Nondenominational"
Substance Church,Roseville,MN,3000,"Independent, Nondenominational"
Sugar Creek Baptist Church,Sugar Land,TX,3730,Southern Baptist Convention
Summit Christian Center,San Antonio,TX,2834,"Independent, Nondenominational"
Summit Christian Church,Sparks,NV,2467,CHRISTIAN
Summit Church,Orlando,FL,4300,"Independent, Nondenominational"
Summit Church,Estero,FL,1800,Unknown (unspecified)
Sun Valley Community Church,Gilbert,AZ,8500,"Independent, Nondenominational"
Sunnyvale First Baptist Church,Sunnyvale,TX,2400,Southern Baptist Convention
Sunrise Church,Rialto,CA,5000,CBA
Sunset Presbyterian Church,Portland,OR,2300,Presbyterian Church of America
Sweet Holy Spirit Full Gospel Baptist Church,Chicago,IL,4000,Baptist (unspecified)
Sweet Home Missionary Baptist,Miami,FL,2000,Missionary Baptist
Tabernacle Missionary Baptist Church,Seattle,WA,1800,Unknown (unspecified)
Table Rock Fellowship,Central Point,OR,2000,"Independent, Nondenominational"
Tallowood Baptist Church,Houston,TX,2000,Baptist (unspecified)
Taylors First Baptist Church,Taylors,SC,2300,Southern Baptist Convention
Temple Baptist Church,Hattiesburg,MS,3000,Southern Baptist Convention
Temple Bible Church,Temple,TX,2800,"Independent, Nondenominational"
Temple of Deliverance,Memphis,TN,4000,Church of God in Christ
Temple of Praise,Washington,DC,4000,"Independent, Nondenominational"
Templo Calvario Assembly of God,Santa Ana,CA,8750,Assemblies of God
Thanksgiving Church,Buena Park,CA,1900,Assemblies of God
The Austin Stone Community Church,Austin,TX,7428,Southern Baptist Convention
The Bible Chapel,McMurray,PA,2500,Unknown (unspecified)
The Bridge,Fresno,CA,2000,Evangelical Free
The Bridge Bible Church,Bakersfield,CA,2100,"Independent, Nondenominational"
The Bridge Community Church,Decatur,IN,2000,"Independent, Nondenominational"
The Chapel,Fort Wayne,IN,2700,"Independent, Nondenominational"
The Chapel,Getzville,NY,4800,"Independent, Nondenominational"
The Chapel,Libertyville,IL,6010,"Independent, Nondenominational"
The Chapel,Akron,OH,7347,"Independent, Nondenominational"
The Chapel,Sandusky,OH,2200,"Independent, Nondenominational"
The Church at Bethel’s Family,Houston,TX,2000,Unknown (unspecified)
The Church at Brook Hills,Birmingham,AL,4500,Southern Baptist Convention
The Church at Chapel Hill,Douglasville,GA,2000,Assemblies of God
The Church at Rocky Peak,Chatsworth,CA,2000,"Independent, Nondenominational"
The Church at South Las Vegas,Henderson,NV,3200,"Independent, Nondenominational"
The Church Group Worldwide,Jacksonville,FL,3400,"Independent, Nondenominational"
The Church on Rush Creek,Arlington,TX,3300,Southern Baptist Convention
The Church on the Way,Van Nuys,CA,9032,Four Square
The City Church,Kirkland,WA,6300,"Independent, Nondenominational"
The Community of Faith,Houston,TX,6000,Unknown (unspecified)
The Compass Church,Naperville,IL,2250,Evangelical Free
The Cove Church,Mooresville,NC,4200,Unknown (unspecified)
The Crossing,Costa Mesa,CA,2000,"Independent, Nondenominational"
The Crossing,Columbia,MO,3400,"Independent, Nondenominational"
The Crossing,Quincy,IL,5484,CHRISTIAN
The Crossing,Chesterfield,MO,6000,"Independent, Nondenominational"
The Crossing A Christian Church,Las Vegas,NV,2577,CHRISTIAN
The Crossing Church,Tampa,FL,5000,Unknown (unspecified)
The Dream Center / Angelus Temple,Los Angeles,CA,8975,Four Square
The Faith Center Ministries,Sunrise,FL,8000,"Independent, Nondenominational"
The Falls Church Anglican,Falls Church,VA,3000,Anglical
The Family Church,Gainesville,FL,2000,"Independent, Nondenominational"
The Father’s House,Vacaville,CA,3000,Unknown (unspecified)
The Father’s House,Rochester,NY,3500,Unknown (unspecified)
The Fellowship at Two Rivers,Nashville,TN,2000,Baptist (unspecified)
The Foundry United Methodist Church,Houston,TX,1800,United Methodist Church
The Fountain of Praise,Houston,TX,9000,Southern Baptist Convention
The Greater White Rock Baptist Church,Philadelphia,PA,3000,Baptist (unspecified)
The Grove Community Church,Riverside,CA,4500,"Independent, Nondenominational"
The Heights Baptist Church,Richardson,TX,2623,Southern Baptist Convention
The Heights Church,Prescott,AZ,3000,CBA
The Hills Church of Christ,North Richland Hills,TX,4500,Church of Christ
The House Modesto,Modesto,CA,5500,Assemblies of God
The House of the Lord,Akron,OH,3000,"Independent, Nondenominational"
The Journey Fellowship,Saint Louis,MO,3300,"Independent, Nondenominational"
The Korean Presbyterian Church of Queens,Flushing,NY,3000,Korean Presbyterian Church
The Life Church,Memphis,TN,3400,"Independent, Nondenominational"
The Living Word Bible Church,Mesa,AZ,4427,Unknown (unspecified)
The Meeting House,Oakville,ON,5007,BIC
The Meeting Place,Winnipeg,MB,5000,MEN
The Met (Metropolitan Baptist Church),Houston,TX,3600,Baptist (unspecified)
The Moody Church,Chicago,IL,2400,"Independent, Nondenominational"
The Oaks Fellowship,Red Oak,TX,2700,Assemblies of God
The Orchard,Tupelo,MS,2300,United Methodist Church
The Orchard Evangelical Free Church,Arlington Heights,IL,2500,Evangelical Free
The Packinghouse Church,Redlands,CA,3800,"Independent, Nondenominational"
The Park Church,Charlotte,NC,6000,Baptist (unspecified)
The Pentecostals,West Monroe,LA,2050,United Pentecostal Church International
The Pentecostals of Cooper City,Cooper City,FL,2000,"Independent, Nondenominational"
The People’s Church,Franklin,TN,2901,Southern Baptist Convention
The Peoples Church,Toronto,ON,3800,"Independent, Nondenominational"
The Potter’s House,Dallas,TX,8000,"Independent, Nondenominational"
The Presbyterian Church of Toms River,Toms River,NJ,2500,PRES
The River of Life Church,Phoenix,AZ,3500,Unknown (unspecified)
The Riverside Church,New York,NY,2500,"Independent, Nondenominational"
The Rock,Anaheim,CA,3000,Four Square
The Rock Church,San Diego,CA,18000,"Independent, Nondenominational"
The Rock Church and World Outreach Center,San Bernardino,CA,14550,"Independent, Nondenominational"
The Rock Church International,Virginia Beach,VA,2225,"Independent, Nondenominational"
The Rock Church of Sacramento,Elk Grove,CA,2000,Pentecostal (unspecified)
The Rock Family Worship Center,Huntsville,AL,2500,"Independent, Nondenominational"
The Rock Ministries Inc.,Flowery Branch,GA,2000,"Independent, Nondenominational"
The Sanctuary,Capitol Heights,MD,3400,"Independent, Nondenominational"
The Simple Church,Bossier City,LA,5000,"Independent, Nondenominational"
The Summit Church,Kernersville,NC,2700,Baptist General Conference
The Summit Church,Durham,NC,6639,Southern Baptist Convention
The Village Church,Flower Mound,TX,4939,Southern Baptist Convention
The Vineyard Church,Kenner,LA,2000,Vineyard
The Vineyard Church,Urbana,IL,2800,Vineyard
The Well Community Church,Fresno,CA,3800,"Independent, Nondenominational"
The Wesleyan Church of Hamburg,Hamburg,NY,1900,Wesleyan
The Woodlands United Methodist Church,The Woodlands,TX,4267,United Methodist Church
The Word Church,Cleveland,OH,7000,Unknown (unspecified)
The Worship Center,Lancaster,PA,2150,Unknown (unspecified)
The Worship Center Christian Church,Birmingham,AL,2000,"Independent, Nondenominational"
Thessalonia Baptist Church,Bronx,NY,2000,Baptist (unspecified)
Third Reformed Church,Pella,IA,2000,Reformed Church in America
Thomas Road Baptist Church,Lynchburg,VA,8350,Unknown (unspecified)
Timberline Church,Fort Collins,CO,6022,Assemblies of God
Times Square Church,New York,NY,8000,Unknown (unspecified)
Tomoka Christian Church,Ormond Beach,FL,2296,CHRISTIAN
Torrance First Presbyterian Church,Torrance,CA,2800,PRES
Total Grace Christian Center,Decatur,GA,3000,"Independent, Nondenominational"
Traders Point Christian Church,Indianapolis,IN,4265,CHRISTIAN
Transformation Church,Indian Land,SC,2500,"Independent, Nondenominational"
Travis Avenue Baptist Church,Fort Worth,TX,2000,Southern Baptist Convention
Tree of Life Ministries,Lynchburg,VA,2400,Pentecostal (unspecified)
Trinity Baptist Church,Kelowna,BC,2200,American Baptist
Trinity Baptist Church,Jacksonville,FL,1800,Baptist (unspecified)
Trinity Chapel Church of God,Powder Springs,GA,2100,"Church of God, Cleveland"
Trinity Church,Cedar Hill,TX,2600,Assemblies of God
Trinity Church,Miami,FL,3500,Assemblies of God
Trinity Church,Lubbock,TX,2900,"Independent, Nondenominational"
Trinity Church,Lansing,MI,3500,Unknown (unspecified)
Trinity Church International,Lake Worth,FL,4012,Assemblies of God
Trinity Evangelical Free Church,Redlands,CA,2800,Evangelical Free
Trinity Fellowship Church,Amarillo,TX,3500,"Independent, Nondenominational"
Trinity United Church of Christ,Chicago,IL,7500,United Church of Christ
Triumph Church,Detroit,MI,14000,"Independent, Nondenominational"
Turner Chapel Ame Church,Marietta,GA,4400,African Methodist Episcopal
Twin Cities Community Church,Grass Valley,CA,2100,Southern Baptist Convention
Twin Lakes Baptist Church,Aptos,CA,3500,Southern Baptist Convention
Twin Rivers Worship Center,Saint Louis,MO,2500,Unknown (unspecified)
Union Chapel MB Church,Huntsville,AL,2000,Baptist (unspecified)
University Park Baptist Church,Charlotte,NC,10000,Baptist (unspecified)
University Presbyterian Church,Seattle,WA,3896,"Presbyterian Church, U.S.A."
University United Methodist Church,San Antonio,TX,2589,United Methodist Church
Upper Arlington Lutheran Church,Columbus,OH,2200,Lutheran (unspecified)
Upper Room Christian World Center,Dix Hills,NY,2200,"Independent, Nondenominational"
Valley Baptist Church,Bakersfield,CA,3266,Southern Baptist Convention
Valley Christian Center Church,Fresno,CA,1800,Four Square
Valley Church,West Des Moines,IA,2000,Evangelical Free
Valley Community Baptist Church,Avon,CT,2000,Baptist General Conference
Valley Creek Church,Flower Mound,TX,3500,"Independent, Nondenominational"
Valley Family Church,Kalamazoo,MI,3000,"Independent, Nondenominational"
Valley Kingdom Ministries International,South Holland,IL,3400,"Independent, Nondenominational"
Valley View Church,Louisville,KY,2497,Southern Baptist Convention
Van Dyke United Methodist Church,Lutz,FL,2143,United Methodist Church
VBF Church,Bakersfield,CA,10000,"Independent, Nondenominational"
Venture Christian Church,Los Gatos,CA,3600,"Independent, Nondenominational"
Victorious Life Church,Wesley Chapel,FL,3000,Assemblies of God
Victorville First Assembly,Victorville,CA,1907,Assemblies of God
Victory Assembly,Tucson,AZ,5000,Assemblies of God
Victory Cathedral Worship Center,Bolingbrook,IL,4000,Unknown (unspecified)
Victory Christian Center,Lowellville,OH,2500,Assemblies of God
Victory Christian Center,Charlotte,NC,3500,"Independent, Nondenominational"
Victory Christian Center,Tulsa,OK,9500,Unknown (unspecified)
Victory Church,Lakeland,FL,3001,Assemblies of God
Victory Church,Oklahoma City,OK,8000,"Independent, Nondenominational"
Victory Family Church,Cranberry Twp,PA,2000,Unknown (unspecified)
Victory Fellowship,Metairie,LA,2000,Assemblies of God
Victory for the World,Stone Mountain,GA,2000,"Independent, Nondenominational"
Victory Life Family Worship Center,Durant,OK,4000,Unknown (unspecified)
Victory Missionary Baptist Church,Las Vegas,NV,2000,Unknown (unspecified)
Victory Outreach Church,La Puente,CA,2000,Unknown (unspecified)
Victory Outreach Church San Diego,San Diego,CA,1800,Unknown (unspecified)
Victory World Church,Norcross,GA,8000,"Independent, Nondenominational"
Village Baptist Church,Fayetteville,NC,1800,Southern Baptist Convention
Village Church of Gurnee,Gurnee,IL,2000,Unknown (unspecified)
Village View Community Church,Summerfield,FL,2500,"Church of God, Cleveland"
Vineville Baptist Church,Macon,GA,2000,Unknown (unspecified)
Vineyard Boise,Boise,ID,2200,Vineyard
Vineyard Christian Fellowship,Kansas City,MO,2000,Vineyard
Vineyard Christian Fellowship,Beavercreek,OH,3000,Vineyard
Vineyard Christian Fellowship of North Phoenix,Glendale,AZ,4100,Vineyard
Vineyard Church of Columbus,Westerville,OH,7827,Vineyard
Vineyard Church of the Rockies,Fort Collins,CO,2500,Vineyard
Vineyard Community Church,Cincinnati,OH,5829,Vineyard
Vino Nuevo de El Paso,El Paso,TX,4000,Evangelical
Visalia First Assembly of God,Visalia,CA,3247,Assemblies of God
Voices of Faith Ministries,Stone Mountain,GA,6900,Southern Baptist Convention
Walla Walla City Seventh-day Adventist Church,Walla Walla,WA,1800,Seventh-day Adventist
Walnut Hill Community Church,Bethel,CT,2500,Evangelical
Ward African Methodist Episcopal Church,Los Angeles,CA,8000,African Methodist Episcopal
Ward Evangelical Presbyterian Church,Northville,MI,2300,Evangelical Presbyterian Church
Warehouse Ministry,Sacramento,CA,4000,"Independent, Nondenominational"
Warren Baptist Church,Augusta,GA,1800,Baptist (unspecified)
Warsaw Community Church,Warsaw,IN,3500,Brethren
Washington Cathedral,Redmond,WA,2000,Unknown (unspecified)
Washington Heights Baptist Church,Ogden,UT,2200,CBA
Water of Life Community Church,Fontana,CA,6371,"Independent, Nondenominational"
Watermark Community Church,Dallas,TX,8876,"Independent, Nondenominational"
Waters Edge Church,Yorktown,VA,3594,Southern Baptist Convention
Wave Church,Virginia Beach,VA,4000,"Independent, Nondenominational"
West Acres Baptist,Evans,GA,2000,Baptist (unspecified)
West Angeles Church of God in Christ,Los Angeles,CA,13000,Church of God in Christ
West End Assembly of God,Richmond,VA,2100,Assemblies of God
West End Baptist Church,Rock Hill,SC,2000,Baptist (unspecified)
West Ridge Church,Dallas,GA,4800,Southern Baptist Convention
West Shore Evangelical Free Church,Mechanicsburg,PA,2500,Evangelical Free
West Side Christian Church,Springfield,IL,2175,CHRISTIAN
Westgate Chapel,Edmonds,WA,2000,"Independent, Nondenominational"
WestGate Church,San Jose,CA,2100,Unknown (unspecified)
Westminster Chapel,Bellevue,WA,3000,"Independent, Nondenominational"
Westmoore Community Church,Oklahoma City,OK,2000,Evangelical Covenant
Westover Church,Greensboro,NC,4000,"Independent, Nondenominational"
Westover Hills Assembly of God,San Antonio,TX,4314,Assemblies of God
Westside Baptist Church,Lewisville,TX,2001,Baptist (unspecified)
Westside Baptist Church,Gainesville,FL,1800,Southern Baptist Convention
Westside Church,Bend,OR,3500,Four Square
Westside Church,Omaha,NE,2000,Southern Baptist Convention
Westside Family Church,Lenexa,KS,5100,Southern Baptist Convention
Westwood Community Church,Excelsior,MN,3800,Baptist General Conference
Wheaton Bible Church,West Chicago,IL,2500,"Independent, Nondenominational"
Wheeler Avenue Baptist Church,Houston,TX,6000,National Baptist Convention
White River Christian Church,Noblesville,IN,2290,CHRISTIAN
White’s Chapel United Methodist Church,Southlake,TX,6149,United Methodist Church
Whitesburg Baptist Church,Huntsville,AL,2500,Southern Baptist Convention
Whittier Area Community Church,Whittier,CA,3000,Baptist General Conference
Wildwood Baptist Church,Acworth,GA,2500,Baptist General Conference
Williamsburg Community Chapel,Williamsburg,VA,2400,Unknown (unspecified)
Willingdon Church,Burnaby,BC,5000,MEN
Willow Creek Community Church,South Barrington,IL,9000,"Independent, Nondenominational"
Willow Park Church,Kelowna,BC,2000,MEN
Willowbrook Baptist Church,Huntsville,AL,2900,Southern Baptist Convention
Windsor Village United Methodist Church,Houston,TX,5859,United Methodist Church
Winners Church,West Palm Beach,FL,2000,International Pentecostal Holiness Church
Without Walls International Church,Tampa,FL,3000,Unknown (unspecified)
Woodbury Lutheran Church,Woodbury,MN,2100,Lutheran (unspecified)
Woodcrest Chapel,Columbia,MO,2200,Unknown (unspecified)
Wooddale Church,Eden Prairie,MN,5500,Baptist General Conference
Woodland – The Community Church,Bradenton,FL,2001,Unknown (unspecified)
Woodland Hills Church,St. Paul,MN,5000,Baptist General Conference
Woodlands Church,The Woodlands,TX,18385,Southern Baptist Convention
Woodlawn Church,Columbia,MS,2500,United Pentecostal Church
Woodmen Valley Chapel,Colorado Springs,CO,5500,"Independent, Nondenominational"
Woodmont Hills Church of Christ,Nashville,TN,1900,Church of Christ
Woodside Bible Church,Troy,MI,7174,Unknown (unspecified)
Woodstream Church,Mitchellville,MD,2000,Baptist (unspecified)
Word Alive International Outreach,Oxford,AL,3300,"Independent, Nondenominational"
Word of Faith Family Worship Cathedral,Austell,GA,2000,"Independent, Nondenominational"
Word of Faith International Christian Center,Southfield,MI,11000,"Independent, Nondenominational"
Word of God Church and Ministries,Columbia,SC,2200,"Independent, Nondenominational"
Word of Life Center,Shreveport,LA,2500,"Independent, Nondenominational"
Word of Life Christian Center,Lone Tree,CO,2000,"Independent, Nondenominational"
Word of Life Christian Center,Honolulu,HI,5000,Unknown (unspecified)
Word of Life Church,Saint Joseph,MO,4000,"Independent, Nondenominational"
World Changers Church International,College Park,GA,15000,"Independent, Nondenominational"
World Harvest Church,Canal Winchester,OH,5000,"Independent, Nondenominational"
World Outreach Church,Murfreesboro,TN,15000,"Independent, Nondenominational"
World Overcomers Church,Durham,NC,15000,"Independent, Nondenominational"
World Overcomers Outreach Ministries Church,Memphis,TN,3000,"Independent, Nondenominational"
Worship Center,Lancaster,PA,2500,"Independent, Nondenominational"
Xenos Christian Fellowship,Columbus,OH,5000,"Independent, Nondenominational"
Yorba Linda Friends Church,Yorba Linda,CA,5000,Quaker
Zion Church,Largo,MD,3000,"Independent, Nondenominational"
Zion Dominion Global Ministries,Amherst,NY,2000,Church of God in Christ
